name,price,availability,description
"Процессор Intel Core i5-12400F OEM [LGA 1700, 6 x 2.5 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, TDP 117 Вт]","14 399 ₽","В наличии: в 2 магазинах","Процессор Intel Core i5-12400F – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации."
"Процессор AMD Ryzen 5 5600X OEM [AM4, 6 x 3.7 ГГц, L2 - 3 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 65 Вт]","13 699 ₽","В наличии: в 2 магазинах","Процессор AMD Ryzen 5 5600X OEM представляет собой производительное решение для игровых систем и рабочих станций. Данная модель выполнена на основе архитектуры Vermeer по техпроцессу 7 нм, что вкупе с 6 физическими ядрами и 12 виртуальными потоками обеспечит высокую вычислительную мощность в самых разных задачах. Диапазон рабочих частот процессора может варьироваться от 3.7 до 4.6 ГГц и при помощи свободного множителя может быть повышен для достижения еще большей производительности. Максимальный объем оперативной памяти может составлять 128 ГБ типа DDR4. Встроенный в процессор контроллер PCI-E соответствует версии 4.0. Также модель поддерживает широкий набор команд, инструкций и технологий виртуализации, что делает данное решение универсальным выбором как для профессиональной работы, так и развлечений.  Максимальное тепловыделение процессора AMD Ryzen 5 5600X OEM составляет 65 Вт. Температура при максимальной нагрузке может достигать 95°C. Модель поддерживает различные системы водяного и воздушного охлаждения. Для установки на материнскую плату используется сокет AM4."
"Процессор Intel Core i5-12400 OEM [LGA 1700, 6 x 2.5 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 730, TDP 117 Вт]","14 499 ₽","В наличии: в 2 магазинах","Процессор Intel Core i5-12400 – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации."
"Процессор Intel Core i5-11400F OEM [LGA 1200, 6 x 2.6 ГГц, L2 - 3 МБ, L3 - 12 МБ, 2хDDR4-3200 МГц, TDP 65 Вт]","11 499 ₽","В наличии: в 2 магазинах","Процессор Intel Core i5-11400F OEM сочетает в себе высокую производительность и эффективность, благодаря чему эта модель отличается универсальностью и может использоваться для мощных игровых систем и рабочих станций. Процессор выполнен на базе Rocket Lake-S и техпроцесса 14 нм, за счет чего отличается технологичностью. Помимо этого, благодаря особой конструкции и сокету LGA 1200 модуль отличается простой установкой.  Вычислительная мощность Intel Core i5-11400F OEM обеспечивается за счет 6 ядер и 12 потоков, которые поддерживают широкий диапазон рабочих частот, а также встроенной графикой и поддержкой до 128 ГБ временной памяти. За счет этого, а также массивных кэшей на разных уровнях модель может обеспечить высокий уровень быстродействия для эффективного решения самых разных задач.  Другой особенностью процессора является сравнительно низкое тепловыделение, не превышающее 65 Вт. Благодаря этой особенности модель может использоваться для сборок в корпусах с ограниченным внутренним пространством."
"Процессор AMD Ryzen 5 3600 OEM [AM4, 6 x 3.6 ГГц, L2 - 3 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 65 Вт]","9 199 ₽","В наличии: в 2 магазинах","6-ядерный процессор AMD Ryzen 5 3600 OEM порадует высоким уровнем производительности подавляющее большинство пользователей. Устройство будет уверенно себя чувствовать в составе мощной игровой системы. Базовая частота процессора равна 3600 МГц. Турбочастота – 4200 МГц. Важной особенностью процессора является очень большой объем кэша третьего уровня: величина этого показателя равна 32 МБ. Объем кэша L2 – 3 МБ.  Процессор AMD Ryzen 5 3600 OEM не имеет встроенного графического ядра. Модель совместима с памятью DDR4, объем которой может достигать 128 ГБ. Минимально допустимая частота оперативной памяти – 1600 МГц. Максимально допустимая частота вдвое выше – 3200 МГц.  Процессор не укомплектован системой охлаждения. Выбор кулера предоставлен производителем пользователю. Несмотря на высокий уровень эксплуатационных параметров, процессор отличается незначительным (лишь 65 Вт) показателем TDP. Для установки устройства используется сокет AM4."
"Процессор AMD Ryzen 7 5800X OEM [AM4, 8 x 3.8 ГГц, L2 - 4 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 105 Вт]","21 999 ₽","В наличии: в 1 магазине","Игровой процессор элитного класса. Этот лучший в мире процессор для настольных ПК гарантирует прекрасную производительность в играх.  Высокопроизводительная архитектура ядер «Zen 3» компании AMD позволяет процессорам Ryzen 7 5800X, развивать более высокую производительность в одно- и многопотоковом режимах, чем любой другой процессор для настольных ПК. Эта необходимая для успеха геймеров и разработчиков контента производительность помогает побеждать."
"Процессор Intel Core i3-12100F OEM [LGA 1700, 4 x 3.3 ГГц, L2 - 5 МБ, L3 - 12 МБ, 2хDDR4, DDR5-4800 МГц, TDP 89 Вт]","8 499 ₽","В магазинах: 15 февраля (СР)","4-ядерный процессор Intel Core i3-12100F – представитель 12-го поколения процессоров Intel, произведенный с использованием архитектуры Alder Lake. Устройство отлично подходит для комплектации системных блоков, рассчитанных на решение рабочих задач. Производительность процессора достаточна для обеспечения комфортных условий работы с абсолютным большинством распространенных в настоящее время программ. Модель использует сокет LGA 1700."
"Процессор Intel Core i5-10400F OEM [LGA 1200, 6 x 2.9 ГГц, L2 - 1.5 МБ, L3 - 12 МБ, 2хDDR4-2666 МГц, TDP 65 Вт]","9 499 ₽","В наличии: в 2 магазинах","Процессор Intel Core i5-10400F OEM способен проявить свою эффективность в составе игровых систем и мощных рабочих станций. Графическое ядро отсутствует: вам будет нужно позаботиться о выборе видеокарты. Базовая частота процессора равна 2900 МГц. Пиковая частота в турборежиме намного выше – 4300 МГц. Процессор обладает 12-мегабайтной кеш-памятью третьего уровня. Объем кеша L2 равен 1.5 МБ. Совместимая память – DDR4.  Процессор Intel Core i5-10400F OEM не укомплектован кулером. При выборе устройства теплоотвода вы с высочайшей долей вероятности не испытаете трудностей. Дело в данном случаев в незначительной величине показателя TDP (65 Вт). Тип сокета устройства – LGA 1200."
"Процессор AMD Ryzen 5 5600X BOX [AM4, 6 x 3.7 ГГц, L2 - 3 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 65 Вт, кулер]","14 199 ₽","В магазинах: завтра c (12:00)","Процессор AMD Ryzen 5 5600X BOX – это мощное решение для игровых систем и рабочих станций. В основе модели используются высококачественные компоненты и передовые технологии, что в связке с большим числом физических ядер и виртуальных потоков может обеспечить непревзойденно высокую вычислительную мощность в любых сценариях использования компьютера.  Поддерживаемые AMD Ryzen 5 5600X частоты могут варьироваться от 3.7 до 4.6 ГГц. Благодаря этому, а также свободному множителю данная модель отличается высоким уровнем быстродействия и большим потенциалом для его дальнейшего развития.  Объем поддерживаемой временной памяти может достигать 128 ГБ. Также вычислительный модуль поддерживает работу с интерфейсом PCI-E 4 поколения, что открывает широкие возможности для создания бескомпромиссной компьютерной системы для работы и развлечений.  Помимо высокой производительности процессор также отличается малым тепловыделением, которое не превышает 65 Вт. Для охлаждения могут использоваться как воздушные, так и водяные системы. Установка на материнскую плату производится при помощи сокета AM4."
"Процессор AMD Ryzen 5 5600G OEM [AM4, 6 x 3.9 ГГц, L2 - 3 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, AMD Radeon Vega 7, TDP 65 Вт]","11 999 ₽","В наличии: в 2 магазинах","6-ядерный процессор AMD Ryzen 5 5600G поставляется без системы охлаждения, поэтому выбрать кулер вы сможете самостоятельно. Базовая частота процессора, базирующегося на архитектуре Zen 3, равна 3900 МГц. В турборежиме частота на 500 МГц выше – 4400 МГц. Модель подойдет для использования в составе игровой системы или производительного универсального компьютера. Общий объем кэш-памяти второго и третьего уровней равен 19 МБ. Процессор монтируется в сокет AM4."
